Team name,Player name,Number,Position,Url,Mugshot
Magnolia,Calvin Abueva,13,F,https://www.pba.ph/players/calvin-abueva,https://dashboard.pba.ph/assets/players/Abueva23.png
North Port,Benedict Adamos,88,C,https://www.pba.ph/players/benedict-adamos,https://dashboard.pba.ph/assets/players/Adam23os_Northport.png
Ginebra San Miguel,Japeth Aguilar,25,F,https://www.pba.ph/players/japeth-aguilar,https://dashboard.pba.ph/assets/players/J_Aguilar.png
Ginebra San Miguel,Raymond Aguilar,23,F,https://www.pba.ph/players/raymond-aguilar,https://dashboard.pba.ph/assets/players/R_Aguilar.png
Ginebra San Miguel,Maverick Ahanmisi,0,G,https://www.pba.ph/players/maverick-ahanmisi,https://dashboard.pba.ph/assets/players/M_Ahanmisi.png
Magnolia,Jerrick Ahanmisi,2,G,https://www.pba.ph/players/jerrick-ahanmisi,https://dashboard.pba.ph/assets/players/J_Ahanmisi23.png
Phoenix,Jayjay Alejandro,18,G,https://www.pba.ph/players/jayjay-alejandro,https://dashboard.pba.ph/assets/players/Alejandro23.png
Meralco,Raymond Almazan,20,C,https://www.pba.ph/players/raymond-almazan,https://dashboard.pba.ph/assets/players/Almazan23.png
TerraFirma,Gelo Alolino,4,G,https://www.pba.ph/players/gelo-alolino,https://dashboard.pba.ph/assets/players/Alolin23o.png
Converge,Jeo Ambohot,19,C,https://www.pba.ph/players/jeo-ambohot,https://dashboard.pba.ph/assets/players/Ambohot23.png
NLEX,Baser Amer,9,G,https://www.pba.ph/players/baser-amer,https://dashboard.pba.ph/assets/players/24amerb.png
North Port,John Anthony Amores,19,F/G,https://www.pba.ph/players/john-anthony-amores,https://dashboard.pba.ph/assets/players/AMores233.png
Converge,Bryan Jason Andrade,0,G,https://www.pba.ph/players/bryan-jason-andrade,https://dashboard.pba.ph/assets/players/24Andrade.png
NLEX,Sean Anthony,10,F,https://www.pba.ph/players/sean-anthony,https://dashboard.pba.ph/assets/players/Anthon23y.png
Converge,Justin Arana,15,C,https://www.pba.ph/players/justin-arana,https://dashboard.pba.ph/assets/players/Arana23.png
Rain or Shine,Anton Rafael Asistio,8,G,https://www.pba.ph/players/anton-rafael-asistio,https://dashboard.pba.ph/assets/players/Asistio23.png
Talk N Text,Kim Cyril Aurin,35,F/G,https://www.pba.ph/players/kim-cyril-aurin,https://dashboard.pba.ph/assets/players/Aurin23.png
Talk N Text,Kim Aurin,35,Guard,https://www.pba.ph/players/kim-aurin,https://dashboard.pba.ph/assets/players/Aurin23.png
Converge,Jerrick Balanza,7,G,https://www.pba.ph/players/jerrick-balanza,https://dashboard.pba.ph/assets/players/Balanza23.png
Meralco,Chris Banchero,6,G,https://www.pba.ph/players/chris-banchero,https://dashboard.pba.ph/assets/players/Banchero23.png
Magnolia,Andy Mark Barroca,14,G,https://www.pba.ph/players/andy-mark-barroca,https://dashboard.pba.ph/assets/players/Barroca23.png
Meralco,Brandon Bates,33,Forward,https://www.pba.ph/players/brandon-bates,https://dashboard.pba.ph/assets/players/Bates23.png
Rain or Shine,Beau Michael Vincent Belga,28,C/F,https://www.pba.ph/players/beau-michael-vincent-belga,https://dashboard.pba.ph/assets/players/Belga23.png
Rain or Shine,Mac Belo,12,F,https://www.pba.ph/players/mac-belo,https://dashboard.pba.ph/assets/players/Belo.23png.png
Meralco,Norman Aaron Black,1,F/G,https://www.pba.ph/players/norman-aaron-black,https://dashboard.pba.ph/assets/players/Black23.png
NLEX,Robert Lee Bolick Jr.,8,G,https://www.pba.ph/players/robert-lee-bolick-jr.,https://dashboard.pba.ph/assets/players/Bolick_NLEX.png
Rain or Shine,Mark Anthony Borboran,16,F,https://www.pba.ph/players/mark-anthony-borboran,https://dashboard.pba.ph/assets/players/Borb23oran.png
